"Date","Time","Test Total Time",,
"01/18/25","12:04:47","(hh:mm:ss): 1:45:57",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"18.00 Ah","13.24 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","Lead Acid","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"7.500 Amps","AmpHrs",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Battery_Y","260.000","12.430","7.500","999.90"
"Battery_Y","261.000","12.430","7.500","999.90"
"Battery_Y","262.000","12.430","7.500","999.90"
"Battery_Y","263.000","12.430","7.500","999.90"
"Battery_Y","264.000","12.430","7.500","999.90"
"Battery_Y","265.000","12.430","7.500","999.90"
"Battery_Y","266.000","12.430","7.500","999.90"
"Battery_Y","267.000","12.430","7.500","999.90"
"Battery_Y","268.000","12.430","7.500","999.90"
"Battery_Y","269.000","12.430","7.500","999.90"
"Battery_Y","270.000","12.430","7.500","999.90"
"Battery_Y","271.000","12.430","7.500","999.90"
"Battery_Y","272.000","12.430","7.500","999.90"
"Battery_Y","273.000","12.430","7.500","999.90"
"Battery_Y","274.000","12.434","7.500","999.90"
"Battery_Y","275.000","12.434","7.500","999.90"
"Battery_Y","276.000","12.434","7.500","999.90"
"Battery_Y","277.000","12.434","7.500","999.90"
"Battery_Y","278.000","12.438","7.500","999.90"
"Battery_Y","279.000","12.438","7.500","999.90"
"Battery_Y","280.000","12.434","7.500","999.90"
"Battery_Y","281.000","12.438","7.500","999.90"
"Battery_Y","282.000","12.438","7.500","999.90"
"Battery_Y","283.000","12.438","7.500","999.90"
"Battery_Y","284.000","12.438","7.500","999.90"
"Battery_Y","285.000","12.438","7.500","999.90"
"Battery_Y","286.000","12.438","7.500","999.90"
"Battery_Y","287.000","12.438","7.500","999.90"
"Battery_Y","288.000","12.438","7.500","999.90"
"Battery_Y","289.000","12.438","7.500","999.90"
"Battery_Y","290.000","12.438","7.500","999.90"
"Battery_Y","291.000","12.438","7.500","999.90"
"Battery_Y","292.000","12.438","7.500","999.90"
"Battery_Y","293.000","12.438","7.500","999.90"
"Battery_Y","294.000","12.438","7.500","999.90"
"Battery_Y","295.000","12.438","7.500","999.90"
"Battery_Y","296.000","12.438","7.500","999.90"
"Battery_Y","297.000","12.438","7.500","999.90"
"Battery_Y","298.000","12.438","7.500","999.90"
"Battery_Y","299.000","12.438","7.500","999.90"
"Battery_Y","300.000","12.438","7.500","999.90"
"Battery_Y","301.000","12.438","7.500","999.90"
"Battery_Y","302.000","12.438","7.500","999.90"
"Battery_Y","303.000","12.438","7.500","999.90"
"Battery_Y","304.000","12.438","7.500","999.90"
"Battery_Y","305.000","12.438","7.500","999.90"
"Battery_Y","306.000","12.438","7.500","999.90"
"Battery_Y","307.000","12.438","7.500","999.90"
"Battery_Y","308.000","12.438","7.500","999.90"
"Battery_Y","309.000","12.438","7.500","999.90"
"Battery_Y","310.000","12.438","7.500","999.90"
"Battery_Y","311.000","12.438","7.500","999.90"
"Battery_Y","312.000","12.438","7.500","999.90"
"Battery_Y","313.000","12.438","7.500","999.90"
"Battery_Y","314.000","12.438","7.500","999.90"
"Battery_Y","315.000","12.438","7.500","999.90"
"Battery_Y","316.000","12.438","7.500","999.90"
"Battery_Y","317.000","12.438","7.500","999.90"
"Battery_Y","318.000","12.438","7.500","999.90"
"Battery_Y","319.000","12.438","7.500","999.90"
"Battery_Y","320.000","12.438","7.500","999.90"
"Battery_Y","321.000","12.438","7.500","999.90"
"Battery_Y","322.000","12.438","7.500","999.90"
"Battery_Y","323.000","12.438","7.500","999.90"
"Battery_Y","324.000","12.438","7.500","999.90"
"Battery_Y","325.000","12.438","7.500","999.90"
"Battery_Y","326.000","12.438","7.500","999.90"
"Battery_Y","327.000","12.438","7.500","999.90"
"Battery_Y","328.000","12.438","7.500","999.90"
"Battery_Y","329.000","12.438","7.500","999.90"
"Battery_Y","330.000","12.438","7.500","999.90"
"Battery_Y","331.000","12.438","7.500","999.90"
"Battery_Y","332.000","12.438","7.500","999.90"
"Battery_Y","333.000","12.438","7.500","999.90"
"Battery_Y","334.000","12.438","7.500","999.90"
"Battery_Y","335.000","12.438","7.500","999.90"
"Battery_Y","336.000","12.438","7.500","999.90"
"Battery_Y","337.000","12.438","7.500","999.90"
"Battery_Y","338.000","12.438","7.500","999.90"
"Battery_Y","339.000","12.438","7.500","999.90"
"Battery_Y","340.000","12.438","7.500","999.90"
"Battery_Y","341.000","12.438","7.500","999.90"
"Battery_Y","342.000","12.438","7.500","999.90"
"Battery_Y","343.000","12.438","7.500","999.90"
"Battery_Y","344.000","12.438","7.500","999.90"
"Battery_Y","345.000","12.438","7.500","999.90"
